fsym,tsym,time,open,high,low,close,volumefrom,volumeto,fsym,tsym,max_close,max_high
DRGN,ETH,"2017-12-30 00:00:00",0.001175,339.93,0.00000032,0.001777,890631.5,1346.09,DRGN,ETH,0.001777,10000085077.65
DRGN,USD,"2017-12-30 00:00:00",0.871,251990.11,0.0002372,1.32,890631.5,1148914.64,DRGN,USD,1.32,6990959476934.34
DTC,ETH,"2017-12-30 00:00:00",0.00001805,0.00001805,0.00001805,0.000163,0,0,DTC,ETH,0.000163,0.00003497
DTC,USD,"2017-12-30 00:00:00",0.01391,0.01391,0.01391,0.1201,0,0,DTC,USD,0.1201,0.07626
DTR,BTC,"2017-12-30 00:00:00",0.00000424,0.0000048,0.00000422,0.00000478,39974.69,0.1915,DTR,BTC,0.00000478,0.00000521
DTR,ETH,"2017-12-30 00:00:00",0.00007983,0.00009027,0.00007951,0.00008997,39974.69,3.35,DTR,ETH,0.00009849,0.00009849
DTR,USD,"2017-12-30 00:00:00",0.05918,0.06692,0.05894,0.06681,39974.69,2673.91,DTR,USD,0.06681,0.06828
EBCH,BTC,"2017-12-30 00:00:00",0.00000372,0.00000637,0.00000345,0.00000532,26912.32,0.1144,EBCH,BTC,0.00000532,440.5
EBCH,ETH,"2017-12-30 00:00:00",0.00007,0.00012,0.000065,0.0001,26912.32,2.21,EBCH,ETH,0.0001,10000
EBCH,USD,"2017-12-30 00:00:00",0.05189,0.08896,0.04818,0.07424,26912.32,1595.9,EBCH,USD,0.07424,3546000
EFL,USD,"2017-12-30 00:00:00",0.3368,0.362,0.3355,0.3529,183999.5,65522.22,EFL,USD,0.3689,0.456
ELIX,BTC,"2017-12-30 00:00:00",0.00006289,0.00007437,0.00005684,0.00007433,37295.91,2.14,ELIX,BTC,0.00007783,282.42
ELIX,ETH,"2017-12-30 00:00:00",0.001184,0.0014,0.00107,0.001399,37295.91,44.77,ELIX,ETH,0.001399,6000
ELIX,USD,"2017-12-30 00:00:00",0.8777,1.04,0.7932,1.04,37295.91,29833,ELIX,USD,1.04,1821840
