fsym,volumefrom,fsym,volumefrom,vol-vol%
PEPECASH,1827867.69,PEPECASH,332170.26,-81.82744507070969
PFR,3534337.1999999997,PFR,2631834.9000000004,-25.535263019046383
PHR,1800,PHR,413469.12,22870.506666666664
PING,14623.829999999998,PING,234269.16,1501.96856774183
PINK,25750952.490000002,PINK,34323798.54,33.291374574704115
PIRL,0,PIRL,184910.63999999998,NULL
PIVX,1438267.5,PIVX,2299710.69,59.89450432551663
PIX,1664163,PIX,1470195,-11.655589025834608
PKB,405119.76,PKB,455035.68,12.321275071845418
PLBT,130244.19,PLBT,45373.62,-65.16265332065868
PLR,1555457.82,PLR,1048796.67,-32.57312049773231
PLU,373.48,PLU,2284.3,511.62578986826605
PND,34804242.97,PND,89305558.28,156.59388240961934
POE,1044357048.28,POE,2639386578.6000004,152.72837320789174
POLL,31101.58,POLL,227964.92,632.9689359833167
POP,0,POP,0,NULL
POS,8548.650000000001,POS,49576.649999999994,479.93542840097547
POSW,138611.66999999998,POSW,1291317.78,831.6082693470184
POT,190825520.31,POT,88764131.1,-53.48414040438573
POWR,41870053.26,POWR,46581870.39,11.253429989069001
PPC,269917.68,PPC,447144.36,65.65952997224932
PPP,361199.79,PPP,370395.33,2.5458320449189733
PPT,64517.06999999999,PPT,100976.94,56.51197427285525
PRE,1754040,PRE,3075188.16,75.32029828282138
PRG,545346.57,PRG,173521.25,-68.18147219666201
PRIX,19999.98,PRIX,28124.399999999998,40.62214062214061
PRL,101162.58,PRL,310818.93,207.24693854189957
PRO,852657.72,PRO,927043.9500000001,8.724043453215916
PST,100463.49,PST,275600.67,174.32918167585058
PTC,6333521.699999999,PTC,7810688.16,23.322987272625927
PTOY,11023770.75,PTOY,19811553.54,79.71666854556095
PURA,9419.01,PURA,3427.2000000000003,-63.61401038962693
PWR,869184982.69,PWR,1693481865.02,94.83561022636654
PXC,0,PXC,844185.1499999999,NULL
QASH,3223270.23,QASH,3726517.5600000005,15.612942573542787
